formula,component1,component2,actual,predicted,elements,residual
Ba2ZnTe3,37,10,2.2,1.53021561,Ba Zn Te,0.66978439
HgBr2,100,11,0.79,1.236883075,Hg Br,-0.446883075
Cu3YSe3,93,53,2.12,2.336312556,Cu Y Se,-0.216312556
Li0.5Pb1.75GeS4,37,28,2,2.727193286,Li Pb Ge S,-0.727193286
MgGeN2,23,83,2.19,2.10864526,Mg Ge N,0.08135474
AgGaSiSe4,5,14,0.95,1.476030654,Ag Ga Si Se,-0.526030654
Ce10OSe14,95,33,0.64,1.260525447,Ce O Se,-0.620525447
Ga0.01Sb0.01Zn0.99Te0.99,14,66,0.82,0.946372426,Ga Sb Zn Te,-0.126372426
YClMoO4,5,72,2.53,2.367510311,Y Cl Mo O,0.162489689
PdS,41,60,2.38,2.757281831,Pd S,-0.377281831
Pb0.85Ge0.15Te,5,48,2.04,1.724827518,Pb Ge Te,0.315172482
Cs2TiAg2S4,80,33,9.33,8.681608227,Cs Ti Ag S,0.648391773
NaAsSe2,65,39,2.22,2.224690595,Na As Se,-0.004690595
GaAs0.01P0.99,80,42,0.059,0.178495688,Ga As P,-0.119495688
Cs2Al2B2O7,20,69,1.56,1.519802546,Cs Al B O,0.040197454
Pb0.99Se0.99Sn0.01Se0.01,71,73,2,1.981106411,Pb Se Sn,0.018893589
Tl2PrInSe4,74,5,2.288333333,2.060494582,Tl Pr In Se,0.227838751
CuIn3S5,36,43,4.28,3.389595556,Cu In S,0.890404444
As2B12,98,26,4.64,5.288405868,As B,-0.648405868
K2CdP2Se6,14,78,0.85,1.318007164,K Cd P Se,-0.468007164
Cu0.5In1.5Se2.5,7,80,3.626666667,3.543022019,Cu In Se,0.083644648
Hg2Cl2,25,37,2.26,2.802879107,Hg Cl,-0.542879107
CsZn2B3O7,76,94,1.84,1.996047445,Cs Zn B O,-0.156047445
Cs2Cu2Sb2S5,44,23,1.66,1.445747079,Cs Cu Sb S,0.214252921
IrP2,11,61,1.55,1.671542203,Ir P,-0.121542203
BaV2SeO8,0,41,1.7,1.950816681,Ba V Se O,-0.250816681
RuS2,83,14,1.9,2.387679593,Ru S,-0.487679593
Li2In2GeSe6,18,59,6.89,7.129141588,Li In Ge Se,-0.239141588
Ta0.67Zr1.33O0.42N2.61,15,39,0.58,1.184142986,Ta Zr O N,-0.604142986
K2Gd2Ti3O10,54,79,1.59,0.641040588,K Gd Ti O,0.948959412
GdB66,53,5,1.453333333,1.533579426,Gd B,-0.080246092
Hg0.7Cd0.3Te,32,26,1.1,1.164553188,Hg Cd Te,-0.064553188
K2Ag3Sb3S7,54,8,1.625,2.033476965,K Ag Sb S,-0.408476965
CuInGeSe4,44,64,1.175,1.284732048,Cu In Ge Se,-0.109732048
Rb2TeBr6,77,53,0.466,2.516543178,Rb Te Br,-2.050543178
BiFeSe3O9,75,22,0.165,0.150137489,Bi Fe Se O,0.014862511
CdGeAs2,32,52,3.163,3.138804096,Cd Ge As,0.024195904
Ag2CdP2S6,24,8,3.8,3.373398707,Ag Cd P S,0.426601293
KZn4B3O9,21,18,1.9,0.962969043,K Zn B O,0.937030957
GaAs0.5P0.5,4,15,0.45,0.98634215,Ga As P,-0.53634215
Sn2BiS2I3,86,64,1.5,0.80135877,Sn Bi S I,0.69864123
KRbBi8Se13,60,26,3,2.909904189,K Rb Bi Se,0.090095811
Pb0.85Se0.85Ge0.15Te0.15,11,44,0.37,0.366985694,Pb Se Ge Te,0.003014306
Gd2ZrS5,99,59,2.348,1.789220129,Gd Zr S,0.558779871
RbAg5P2S8,46,95,3.4,4.060186106,Rb Ag P S,-0.660186106
CuCdInSe3,3,63,1.03,0.610899936,Cu Cd In Se,0.419100064
Sm2Mn3Sb4S12,13,78,0.135,0.120642379,Sm Mn Sb S,0.014357621
In0.2As0.2Ga0.8P0.8,69,33,3.81,3.410239586,In As Ga P,0.399760414
K8Ga8Si38,31,40,2.27,1.891899634,K Ga Si,0.378100366
Se0.5Te0.5,85,3,2.8,3.627256315,Se Te,-0.827256315
KEuAsS4,99,15,2.98,2.786377952,K Eu As S,0.193622048
ZnSnO3,12,65,0.55,1.966424705,Zn Sn O,-1.416424705
Cs2B4SiO9,49,29,0.044,0.097546221,Cs B Si O,-0.053546221
La3Sb0.33SiS7,6,11,2.13,1.742602006,La Sb Si S,0.387397994
Ba5CdGa6Se15,19,12,3.15,2.894493059,Ba Cd Ga Se,0.255506941
Pb0.83Sn0.17Se,85,92,6.132777778,5.643561825,Pb Sn Se,0.489215952
Cd3Bi2,60,96,0.28,0.192353632,Cd Bi,0.087646368
Pb4Sb6Se13,68,47,1.38,1.304512744,Pb Sb Se,0.075487256
Na8Eu2Ge4S12,91,55,2.32,2.535097015,Na Eu Ge S,-0.215097015
DyTe1.40,24,10,3.28,2.373645749,Dy Te,0.906354251
PbCoO3,1,20,3.2,3.951423313,Pb Co O,-0.751423313
PbTe0.5Se0.5,25,13,5.84,6.080477555,Pb Te Se,-0.240477555
LaH2NO5,55,45,1.2,1.030011397,La H N O,0.169988603
Ba2GaSmSe5,8,100,1.3,2.097650067,Ba Ga Sm Se,-0.797650067
Ga0.01Al0.99P,47,56,1.1,0.585675597,Ga Al P,0.514324403
OsP4,61,33,2.59,1.675080826,Os P,0.914919174
Nb2O5,50,86,2.16,2.023607599,Nb O,0.136392401
Ba2SnSe4,86,30,2.32,3.3072602,Ba Sn Se,-0.9872602
CdSnP2,87,4,2,1.765783088,Cd Sn P,0.234216912
SnTe,42,95,0.1,0.178020912,Sn Te,-0.078020912
Ga0.5P0.5Zn0.5Se0.5,79,34,1.85,2.451778928,Ga P Zn Se,-0.601778928
Pb0.8Sn0.2Se,74,100,1.31,1.297834632,Pb Sn Se,0.012165368
Pb0.75Sn0.25Se,3,78,1,0.789886347,Pb Sn Se,0.210113653
Bi2Mo2Se2O13,55,20,0.32,0.336027425,Bi Mo Se O,-0.016027425
LiBr,65,59,2.09,2.90620284,Li Br,-0.81620284
Na3ZnB5O10,77,8,2.58,2.373941633,Na Zn B O,0.206058367
GaAs0.4P0.6,69,43,2.63,2.247481462,Ga As P,0.382518538
CuFeSe2,46,36,1.93,1.874575456,Cu Fe Se,0.055424544
K2ZnTe2,50,81,1.595,1.847809894,K Zn Te,-0.252809894
K2Cu2ThS4,65,37,4.13,5.943816063,K Cu Th S,-1.813816063
RuAs2,44,39,2,1.785959254,Ru As,0.214040746
TlCr5S4Se4,14,65,1.89,1.947590863,Tl Cr S Se,-0.057590863
Zn0.55Hg0.45Se,35,54,6.53,6.661125848,Zn Hg Se,-0.131125848
Ba8Al10B12O41,40,7,4.76,4.232035163,Ba Al B O,0.527964837
LiZnN,88,14,3.08,3.421355336,Li Zn N,-0.341355336
Ba8Ga10Si36,26,21,3,2.338461622,Ba Ga Si,0.661538378
Na2Hg3Ge2S8,16,88,0.85,0.805043168,Na Hg Ge S,0.044956832
Bi24BO39,37,83,0.31,0.668660426,Bi B O,-0.358660426
Ba3P3O10Cl,19,51,2.68,2.55337757,Ba P O Cl,0.12662243
BaO,0,9,2.91,3.074158177,Ba O,-0.164158177
SrPb3Br8,16,82,1.373333333,1.098282553,Sr Pb Br,0.275050781
Ba23Ga8Sb2S38,40,68,4,3.305338585,Ba Ga Sb S,0.694661415
B12P2,80,82,0.95,1.643378876,B P,-0.693378876
CsAg2TeS6,85,24,2.31,2.139846985,Cs Ag Te S,0.170153015
Hg0.9Cd0.1Se,0,2,3.5,2.715614153,Hg Cd Se,0.784385847
Cs3Nb9Te4O32,2,100,0.69,0.671530635,Cs Nb Te O,0.018469365
Ge0.8Si0.2,65,34,6.1,5.300024375,Ge Si,0.799975625
Cu2GeS3,71,67,2.6,3.320116486,Cu Ge S,-0.720116486
Na2EuGeSe4,64,29,0.8,0.664240469,Na Eu Ge Se,0.135759531
DyPO4,89,86,0.68,0.652840649,Dy P O,0.027159351
PrBN2,44,74,2.67,2.501518108,Pr B N,0.168481892
Li9Ga13Te21O66,2,44,4.05,4.739295406,Li Ga Te O,-0.689295406
KV2I3O13,81,79,2.87,2.931779271,K V I O,-0.061779271
Gd2Mo3O12,9,70,4.125,3.594190504,Gd Mo O,0.530809496
Ge0.653Si0.347,35,34,1.91,1.710132443,Ge Si,0.199867557
ThOS,58,34,3.402809091,4.020647435,Th O S,-0.617838345
BaB6,15,77,0.53,0.345666247,Ba B,0.184333753
GeP,23,77,2.42,1.900249565,Ge P,0.519750435
Bi6Cu3S10I,89,9,0.22,0.11509769,Bi Cu S I,0.10490231
Sr5V3O12F,5,93,0.42,0.340596254,Sr V O F,0.079403746
RbBi3Se4Te,26,67,0.5,0.657781297,Rb Bi Se Te,-0.157781297
BiSeI,27,84,0.28,0.233709943,Bi Se I,0.046290057
CsSmHgSe3,86,13,3.225,3.063037738,Cs Sm Hg Se,0.161962262
CdTeO3,47,99,1.2,1.152445771,Cd Te O,0.047554229
Cd2V2Te2O11,35,29,4.42,4.012891399,Cd V Te O,0.407108601
ZnAs,95,76,1.97,2.943504016,Zn As,-0.973504016
Cu2ZnSiTe4,38,77,1.13,1.407847623,Cu Zn Si Te,-0.277847623
Hg4As2ZrCl6,56,10,1.5494375,1.375180701,Hg As Zr Cl,0.174256799
Ce2YbCuS5,39,42,2.8,2.308496587,Ce Yb Cu S,0.491503413
Ba4B11O20F,12,66,2.75,2.587249836,Ba B O F,0.162750164
Ba2InYSe5,38,86,8.5,7.685229181,Ba In Y Se,0.814770819
Pb0.95Mn0.05Te,10,3,2.34,2.365277328,Pb Mn Te,-0.025277328
Rb5BS4O16,75,91,2.26,1.971838517,Rb B S O,0.288161483
Pd3P2S8,99,53,1.42,1.168213617,Pd P S,0.251786383
Ba3MgTa2O9,67,68,0.29,0.398188687,Ba Mg Ta O,-0.108188687
ErB6,80,97,2,2.527765787,Er B,-0.527765787
Hg4As2UCl6,7,71,3.8,3.964999648,Hg As U Cl,-0.164999648
Ag2CdGeS4,30,64,6.31,6.056969995,Ag Cd Ge S,0.253030005
SnS,82,40,2.3,2.449734819,Sn S,-0.149734819
Ba4Ge3Se9Cl2,56,99,2.54,2.729812127,Ba Ge Se Cl,-0.189812127
P2Se3,77,38,3.85,4.281426897,P Se,-0.431426897
Hg6P6In2Cl9,6,54,2.15,1.482100904,Hg P In Cl,0.667899096
AgFeSe2,1,15,2.01,2.049656368,Ag Fe Se,-0.039656368
La4InSbSe9,28,52,2.18,2.11703067,La In Sb Se,0.06296933
EuBiW2O9,50,83,0.075,0.353591055,Eu Bi W O,-0.278591055
CdS0.35Se0.65,33,62,1.68,1.376627257,Cd S Se,0.303372743
Ca3La2Sn3S12,97,55,1.8,1.8161445,Ca La Sn S,-0.0161445
KF,93,48,2.955,2.191650407,K F,0.763349593
Si30P16Te8,4,85,3.06,2.800397928,Si P Te,0.259602072
Cs2Ga2S5,16,67,2.924,2.725068351,Cs Ga S,0.198931649
CsInTe2,56,18,2.6,1.88103762,Cs In Te,0.71896238
RuP2,75,35,3,2.116823743,Ru P,0.883176257
PrSb,16,62,0.25,0.532397783,Pr Sb,-0.282397783
SnGa2GeS6,10,17,2.21,1.976843082,Sn Ga Ge S,0.233156918
AlVTe2O8,94,84,3.78,4.370909274,Al V Te O,-0.590909274
Cu2CdSnSe4,45,74,2.1035,2.012745588,Cu Cd Sn Se,0.090754412
TlBr,46,98,1.02,1.674522073,Tl Br,-0.654522073
YbSb2Te4,93,44,2.998325,2.907027565,Yb Sb Te,0.091297435
Pb0.999Se0.999Sn0.001Se0.001,7,12,1.67375,0.953846791,Pb Se Sn,0.719903209
La2YbCuSe5,4,40,0.69,0.683853689,La Yb Cu Se,0.006146311
Rh0.67S2,6,21,2.78,2.721806273,Rh S,0.058193727
K2Cu2Sn2S6,63,5,1.18,0.814183708,K Cu Sn S,0.365816292
NaIn3S5,74,36,1.3,1.301045037,Na In S,-0.001045037
BiPO4,88,16,3.27,4.269488639,Bi P O,-0.999488639
BaBiO2Cl,41,88,1.63,2.38780661,Ba Bi O Cl,-0.75780661
Sr3Se3O8Cl,40,64,2.83,2.401409889,Sr Se O Cl,0.428590111
NbSe2,17,31,1.254725,1.023759644,Nb Se,0.230965356
TlScS2,51,24,1.5,1.616560925,Tl Sc S,-0.116560925
RbPbPO4,87,37,0.9,0.93508831,Rb Pb P O,-0.03508831
Ba6Sn6Se13,89,94,3.4182,2.909403808,Ba Sn Se,0.508796192
In2S3,48,67,2.6,3.518471521,In S,-0.918471521
Cs3Sb2Br9,15,43,2.58,2.32287542,Cs Sb Br,0.25712458
Pb0.59Ge0.41Te,97,70,1.53,1.508812424,Pb Ge Te,0.021187576
PrO,81,56,3.9,2.830800156,Pr O,1.069199844
Ca5B3O9F,52,18,2.05,2.026731121,Ca B O F,0.023268879
SrPr2S4,65,35,5.17,6.495846567,Sr Pr S,-1.325846567
Pr2S3,74,51,2.47,2.316747389,Pr S,0.153252611
In2P3B1O12,70,24,1.6,1.518499635,In P B O,0.081500365
Er2Se3,14,2,3.4,2.143540855,Er Se,1.256459145
Ba3Ta5O14N,51,80,2.416333333,2.314783952,Ba Ta O N,0.101549382
YB66,8,93,1.6,2.388018355,Y B,-0.788018355
Li6Ga2Te8O22,62,3,2.02,3.374985045,Li Ga Te O,-1.354985045
RbCu2SbS3,53,80,2.85,2.67123356,Rb Cu Sb S,0.17876644
Zn2MoSeO7,14,54,1.25,0.213754323,Zn Mo Se O,1.036245677
BiTeI,27,62,3.7,3.439229117,Bi Te I,0.260770883
CdAs2,40,36,0.51,0.779375004,Cd As,-0.269375004
Ce2S3,37,73,2.35,2.243770637,Ce S,0.106229363
Gd1.05Sc0.95Se3,55,19,1.36,1.266899122,Gd Sc Se,0.093100878
Cu2Ta4O11,67,64,1.083333333,0.574550081,Cu Ta O,0.508783252
SnSe2,7,93,2.7,3.487990287,Sn Se,-0.787990287
CaSnO3,5,52,2.63,1.58643405,Ca Sn O,1.04356595
PbTe0.05Se0.95,47,46,1.5,2.490271657,Pb Te Se,-0.990271657
Ga0.95Sb0.95Hg0.05Te0.05,30,90,1.7,1.052859405,Ga Sb Hg Te,0.647140595
UY4O3S5,5,61,1.22,0.715791476,U Y O S,0.504208524
La2O2MnSe2,43,84,2.98,2.435336202,La O Mn Se,0.544663798
AgInSe2,73,54,0.15,0.099471974,Ag In Se,0.050528026
Nd2ZrS5,44,71,6.53,5.853422757,Nd Zr S,0.676577243
Tl2Hg3Te4,5,95,1.36,1.571822546,Tl Hg Te,-0.211822546
Cu3TmTe3,98,39,2.26,2.564527952,Cu Tm Te,-0.304527952
Sc2O3,74,66,0.89,0.850684125,Sc O,0.039315875
Pb10B3O13Br3,38,69,2.29,1.97149108,Pb B O Br,0.31850892
Ga0.01P0.01Zn0.99Se0.99,1,89,0.85,0.901154922,Ga P Zn Se,-0.051154922
AsBr3,62,72,1.6,1.512614553,As Br,0.087385447
Ge0.06Si0.94,0,97,0.9,1.005710371,Ge Si,-0.105710371
Ge40.0Te5.3I8,10,24,1.91,2.471430387,Ge Te I,-0.561430387
CuAlSe2,8,54,0.24,0.407407173,Cu Al Se,-0.167407173
TlInGeS4,49,39,0.69,0.626205536,Tl In Ge S,0.063794464
Ga1.02Sb0.98Te0.06,89,62,0.62,1.171816307,Ga Sb Te,-0.551816307
Cu0.05Ga1.95S2.95,39,3,1.3,2.682747491,Cu Ga S,-1.382747491
TlCr5Se8,27,61,3.0264,2.469861859,Tl Cr Se,0.556538141
Cs2Te,85,20,0.23,2.599179805,Cs Te,-2.369179805
PbBiBO4,1,70,1.38,1.927226523,Pb Bi B O,-0.547226523
CsBi3Se5,75,70,0.73,0.632994442,Cs Bi Se,0.097005558
Hg0.4Cd0.6Se,71,43,3.35,2.386252965,Hg Cd Se,0.963747035
Ir0.67Se2,46,5,1.8,1.836205515,Ir Se,-0.036205515
CsSmZnSe3,34,44,3.7,3.516258837,Cs Sm Zn Se,0.183741163
Ga0.95Sb0.95Cd0.05Te0.05,47,44,0.23,0.145884571,Ga Sb Cd Te,0.084115429
LiMgAs,87,92,2.67,2.188852801,Li Mg As,0.481147199
MgSiN2,25,8,2,2.285225802,Mg Si N,-0.285225802
K10Zn4Ge4S17,23,56,0.35,0.297807775,K Zn Ge S,0.052192225
In2GeTe3,60,9,1.66,1.754659534,In Ge Te,-0.094659534
Zn6S5Cl2,28,53,2.65,2.545724968,Zn S Cl,0.104275032
InAs,76,34,4.99,4.442699731,In As,0.547300269
BiOI,27,52,7.3,6.591026061,Bi O I,0.708973939
Li2ZnSnS4,30,25,4.17,4.78740295,Li Zn Sn S,-0.61740295
Rb2AgVS4,9,85,1.6,2.307114379,Rb Ag V S,-0.707114379
Cd4LuB3O10,2,96,4.091,3.839491959,Cd Lu B O,0.251508041
DyTe1.7,22,38,0.2,0.375099448,Dy Te,-0.175099448
KFeCuTe2,1,50,0.46,2.253171072,K Fe Cu Te,-1.793171072
K2Ge4Se8,61,8,2.796818182,2.998599576,K Ge Se,-0.201781395
Pb0.8Ge0.2Se,66,13,3,3.667122326,Pb Ge Se,-0.667122326
Cs4Zr3S14,8,34,2.41,2.277922814,Cs Zr S,0.132077186
Cu2Te3O8,59,71,2.2,1.942817965,Cu Te O,0.257182035
BaGa2S4,41,100,0.84,0.924450796,Ba Ga S,-0.084450796
KBaB5O9,6,52,3,3.804516757,K Ba B O,-0.804516757
Cd3In2S2Te4,45,2,0.255,0.29823678,Cd In S Te,-0.04323678
Tl2CeP2S7,25,97,1.206363636,0.991416843,Tl Ce P S,0.214946793
Cs2CdP2Se6,90,53,1.4,1.684476383,Cs Cd P Se,-0.284476383
BP,46,49,4.78,3.983351467,B P,0.796648533
GaAs0.6P0.4,68,3,3.52,3.986141152,Ga As P,-0.466141152
ZnO,56,81,0.1525,0.163468312,Zn O,-0.010968312
Ba5Ga6SnP12,36,41,1.71,1.768832265,Ba Ga Sn P,-0.058832265
Pb0.99TeIn0.01,89,81,3.61,2.606752621,Pb Te In,1.003247379
GaN,1,41,0.366,0.763663647,Ga N,-0.397663647
Na8CsB21O36,99,96,4.5,2.650826379,Na Cs B O,1.849173621
Er3SmSe6,23,41,6.1,4.533827153,Er Sm Se,1.566172847
Cs3Bi2Br9,11,83,1.319,0.838142666,Cs Bi Br,0.480857334
Ag2GeS3,88,78,2.37,1.714925444,Ag Ge S,0.655074556
Ga0.25Al0.75As,35,59,1.86,2.676783984,Ga Al As,-0.816783984
Ba4CuGa5Se12,82,8,1.76,1.562735141,Ba Cu Ga Se,0.197264859
DyN,56,92,6.805,5.574949964,Dy N,1.230050036
KBaSbSe3,59,28,2.8,2.160215249,K Ba Sb Se,0.639784751
K2TiCu2S4,53,88,1.29,1.434223055,K Ti Cu S,-0.144223055
Cu3TaS4,16,48,2.07,2.205684651,Cu Ta S,-0.135684651
Bi2Te3,79,89,4.86,4.462197302,Bi Te,0.397802698
Ga0.28In0.72As,28,31,2.32,1.72082325,Ga In As,0.59917675
Pb0.92Se0.92Sn0.08Te0.08,23,77,3.4,3.364093186,Pb Se Sn Te,0.035906814
NaI,38,55,1.3,0.939445247,Na I,0.360554753
CsNbSe2O7,59,71,1,2.579428131,Cs Nb Se O,-1.579428131
Pb2O3,10,22,2.18,2.20990352,Pb O,-0.02990352
AgGaGeS4,2,88,0.19,0.488800217,Ag Ga Ge S,-0.298800217
Nd4InSbSe9,40,18,0.8,0.829288482,Nd In Sb Se,-0.029288482
CsAsSe2,3,90,1.38,1.527725251,Cs As Se,-0.147725251
Ge0.3Si0.7,61,14,0.23,0.386331469,Ge Si,-0.156331469
KInSe2,91,30,2.1,0.89169629,K In Se,1.20830371
Se0.6Te0.4,88,46,2.5,2.194738355,Se Te,0.305261645
Pb0.99TeGa0.01,98,53,1.56,1.940884434,Pb Te Ga,-0.380884434
Ba2GaNdSe5,54,35,0.85,0.877562322,Ba Ga Nd Se,-0.027562322
Cd4V3Te3O15,20,3,3.03,2.811934909,Cd V Te O,0.218065091
Ba2V4Te3O18,11,44,0.845,1.022322506,Ba V Te O,-0.177322506
Rb2Cd3Se4,82,17,0.46,1.972906125,Rb Cd Se,-1.512906125
NaInSnS4,9,100,2,1.335002643,Na In Sn S,0.664997357
EuBi2Se4,38,70,0.16,0.383917677,Eu Bi Se,-0.223917677
PbGa2SiSe6,29,12,1.8,2.206760277,Pb Ga Si Se,-0.406760277
Li4SrB2O6,32,41,0.161,0.068287679,Li Sr B O,0.092712321
RbCu2VS4,9,27,1.931571429,2.061338999,Rb Cu V S,-0.129767571
Ga0.01As0.01Zn0.99Se0.99,52,51,2.3,2.315337571,Ga As Zn Se,-0.015337571
Ce4Te7,51,2,2.3,0.550859951,Ce Te,1.749140049
IrSSe,84,3,1.08,1.282217248,Ir S Se,-0.202217248
Pb3BiV3O12,96,6,0.21,0.247349402,Pb Bi V O,-0.037349402
BaCu2SnSe4,78,7,3.843333333,3.521222007,Ba Cu Sn Se,0.322111327
NaB15,87,11,4.3,3.698600433,Na B,0.601399567
NaLaS3,8,51,2.58,2.426502549,Na La S,0.153497451
Ge0.02Si0.98,44,38,1.88,1.464116115,Ge Si,0.415883885
Bi2Te0.9Se2.1,88,68,1.66,1.11255909,Bi Te Se,0.54744091
Cs2ZnGe3S8,84,46,1.30625,1.231796014,Cs Zn Ge S,0.074453986
Hg4P2HfCl6,52,25,4.12,2.435488135,Hg P Hf Cl,1.684511865
CsF,32,85,0.72,1.040583157,Cs F,-0.320583157
NaInS2,57,56,4.5,3.791898159,Na In S,0.708101841
Th2GeSe2,18,45,3.73,3.541105108,Th Ge Se,0.188894892
Rb2GeB4O9,90,97,3.63,3.1743137,Rb Ge B O,0.4556863
BaSi2,65,3,3.26,3.161318237,Ba Si,0.098681763
Bi14.7In11.3S38,95,61,0.9,0.883835303,Bi In S,0.016164697
Ga1.002Sb0.998Te0.006,88,32,2.991275,2.471813857,Ga Sb Te,0.519461143
Pb0.61Ge0.39Te,67,4,0.34,0.514258026,Pb Ge Te,-0.174258026
K6CdTe4,0,31,1.15,1.267537006,K Cd Te,-0.117537006
InP2S4,47,29,3.71,4.015426758,In P S,-0.305426758
Bi12SiO20,70,73,4.35,4.170361483,Bi Si O,0.179638517
EuBi2Te4,8,60,2.64,2.023143033,Eu Bi Te,0.616856967
K2RbSb,47,12,5.39,3.919644653,K Rb Sb,1.470355347
CaI2,91,94,1.06,1.074191103,Ca I,-0.014191103
Na0.5Pb1.75GeSe4,41,73,0.45,1.159296558,Na Pb Ge Se,-0.709296558
PrTaN2O,50,55,3.34,2.9986514,Pr Ta N O,0.3413486
Cu0.99Ga1.01Se2.01,27,49,0.35,0.652701958,Cu Ga Se,-0.302701958
Tl2InGaTe4,58,74,2.18,2.209877371,Tl In Ga Te,-0.029877371
PtSb2,21,89,0.56,0.433306514,Pt Sb,0.126693486
Pb2B3O7.5H2,47,79,2.51,2.018088656,Pb B O H,0.491911344
CsCu2SbS3,15,21,0.9,0.715838453,Cs Cu Sb S,0.184161547
CeBiW2O9,65,60,0.6,0.546322471,Ce Bi W O,0.053677529
PdPSe,9,75,4.9,5.229516936,Pd P Se,-0.329516936
Li4.5Mn0.5TeO6,42,20,0.46,0.403761341,Li Mn Te O,0.056238659
Cu0.9Ga1.1Se2.1,18,42,2.45,2.784305556,Cu Ga Se,-0.334305556
Er2Te3,77,87,1.8,2.129914298,Er Te,-0.329914298
BaAgSbS3,51,77,0.46,0.793745479,Ba Ag Sb S,-0.333745479
Cu0.2In1.8Se2.8,94,35,5.6,6.415886071,Cu In Se,-0.815886071
CdIn,15,54,1.2,1.144992509,Cd In,0.055007491
EuSe,82,17,2.6,2.658527451,Eu Se,-0.058527451
GdIn3S6,11,55,2.37,2.911373022,Gd In S,-0.541373022
K3Ga3Ge7Se20,37,24,4,4.095598606,K Ga Ge Se,-0.095598606
CsCeCdSe3,70,0,1.89,2.6948136,Cs Ce Cd Se,-0.8048136
CdTe,80,84,1.07,1.036204768,Cd Te,0.033795232
RbCd4Ga5Se12,51,73,1.72,2.09153263,Rb Cd Ga Se,-0.37153263
Cs10Cd4Sn4S17,79,70,1.5,1.80417655,Cs Cd Sn S,-0.30417655
RbScSe2O6,69,6,2.48,2.327339595,Rb Sc Se O,0.152660405
InS,39,16,0.8,0.69118157,In S,0.10881843
Hg4As2.5InBr3.5,93,84,2.13,1.914946822,Hg As In Br,0.215053178
SbSeBr,40,35,0.703333333,0.630390799,Sb Se Br,0.072942534
OsSbS,43,45,4.35,4.218834,Os Sb S,0.131166
V2O5,99,49,1,1.054830361,V O,-0.054830361
Cu3TbTe3,78,46,2,2.08004704,Cu Tb Te,-0.08004704
Tl4Ta2S11,33,32,0.37,1.696961626,Tl Ta S,-1.326961626
SnS0.25Se0.75,87,17,0.097,0.532913998,Sn S Se,-0.435913998
CdIO3Cl,99,72,2.85,2.808393829,Cd I O Cl,0.041606171
SrCrO4,49,16,0.5,0.691127872,Sr Cr O,-0.191127872
AgAsSe2,87,90,1.94,1.57704624,Ag As Se,0.36295376
Ga1.01Sb0.99Se0.03,22,72,1.4,2.57058742,Ga Sb Se,-1.17058742
NaBa2Cu3S5,88,45,1.5,1.872920099,Na Ba Cu S,-0.372920099
Li2B4O7,57,7,4,1.801996275,Li B O,2.198003725
TlS2,84,25,1.78,2.56422138,Tl S,-0.78422138
Tm2O3,63,46,0.235,0.373033884,Tm O,-0.138033884
LiB3O5,42,87,2,1.534503257,Li B O,0.465496743
Ba2BiInS5,87,75,1.69,2.190820493,Ba Bi In S,-0.500820493
EuTm2Se4,34,53,1.26,1.533977803,Eu Tm Se,-0.273977803
NaInTe2,23,59,2.45,2.956386287,Na In Te,-0.506386287
Cs2Hg3S4,58,11,2.675,2.472450751,Cs Hg S,0.202549249
SnBr2,25,4,1.13,0.798197039,Sn Br,0.331802961
Ga0.9Sb0.9Cd0.1Te0.1,86,36,0.39,0.509190522,Ga Sb Cd Te,-0.119190522
CsMn4Ga5Te12,71,53,7.95,7.887685675,Cs Mn Ga Te,0.062314325
Bi3Se2NO11,63,25,2.06,2.02443417,Bi Se N O,0.03556583
Cr2O3,65,7,1.56,0.996311071,Cr O,0.563688929
Ba3CdSn2S8,9,3,0.28,0.139422792,Ba Cd Sn S,0.140577208
Pr4Te7,90,9,3.145,2.80724752,Pr Te,0.33775248
SrZnSO,10,34,1.36,1.325165929,Sr Zn S O,0.034834071
NaCl,38,11,0.28,0.351629838,Na Cl,-0.071629838
TlPrSe2,98,52,0.65,0.838557297,Tl Pr Se,-0.188557297
CsTb9Cd4Se18,61,10,3.07,2.834206882,Cs Tb Cd Se,0.235793118
La2O2FeSe2,32,71,2.9,2.173181197,La O Fe Se,0.726818803
Pb3Br2Se2O6,84,63,2.38,2.520408632,Pb Br Se O,-0.140408632
Ba3Sn0.87Bi2.13Se8,57,47,4.9,3.214121076,Ba Sn Bi Se,1.685878924
Tb2Mo3O12,13,42,10.4,10.19670919,Tb Mo O,0.203290814
HgS,1,75,2.3,1.75763844,Hg S,0.54236156
Cs2Sn3Sb2S10,25,99,0.88,1.104905659,Cs Sn Sb S,-0.224905659
LiGaO2,7,46,3.51,4.746603018,Li Ga O,-1.236603018
KBaAsSe3,30,91,0.8,0.912512036,K Ba As Se,-0.112512036
GaTc,45,32,0.666666667,0.428246573,Ga Tc,0.238420094
Ba3ZnTa2O9,7,59,2.3,2.206297596,Ba Zn Ta O,0.093702404
In2Se3,29,66,2.3,2.707628026,In Se,-0.407628026
BaPrO3,98,61,1.745,2.06343693,Ba Pr O,-0.31843693
In2Te,63,96,1.093333333,0.604481884,In Te,0.488851449
RhP2,83,11,3.953333333,3.805912352,Rh P,0.147420982
Pb0.8Se0.8Bi0.4Te0.6,13,93,0.51,1.212334646,Pb Se Bi Te,-0.702334646
ScN,19,88,1.07,1.757574596,Sc N,-0.687574596
LuP,6,17,2.6,2.385938099,Lu P,0.214061901
